,Fruit
592,0.0076231927591085755
593,0.007590410520811429
594,0.007571094822751784
595,0.007457097628776018
596,0.0037206109177338603
597,0.0037350632341974907
598,0.0037109162180436316
599,0.00381837383712145
600,0.004019632780593938
601,0.004275394979375344
602,0.004648213504533661
603,0.010030415651067593
604,0.01089153064227378
605,0.011811220397575765
606,0.012936545829029708
607,0.014658628844406487
608,0.01606225377227814
609,0.380854461220074
610,0.38531748464779914
611,0.3989980556979879
612,0.40828836498538146
613,0.40604613954964297
614,0.40046187735679617
615,0.3988652701308514
616,0.39405892185623
617,0.3913861799811535
618,0.4391559018915361
619,0.5072960080113131
620,0.6853790413720409
621,1.328870727787691
622,0.0
623,0.0
624,0.0
625,0.004337082911926852
626,0.00400095743997736
627,0.003773463451790126
628,0.003585942748916893
629,0.0034693475456908625
630,0.0034264484577046185
631,0.0035580403375022203
632,0.0036525566617164867
633,0.0037065065858223694
634,0.003823396291860498
635,0.003936916723550636
636,0.0040590944701406765
637,0.0042111022954745446
638,0.004400107882861307
639,0.0045514822086019004
640,0.009545039639626201
641,0.009898417204832267
642,0.01001561964358
643,0.010185488262450831
644,0.010275460630820821
645,0.005086669675097884
646,0.005063078101698697
647,0.005020040119560952
648,0.0050123989410768895
649,0.005079627794388658
650,0.005166213762378797
651,0.005195709337221418
652,0.005328138438005122
653,0.011035903814450033
654,0.011310973881218631
655,0.011590481627492696
656,0.011938867063438937
657,0.012151814958096394
658,0.012184414098149401
659,0.012238544023803947
660,0.006076761425098912
661,0.006055785603653742
662,0.006115611268309162
663,0.00627330175253098
664,0.006440394225641444
665,0.006599043994168535
666,0.006856651174684004
667,0.013954866130643121
668,0.014258702043855377
669,0.014268581604971655
670,0.014153600127531018
671,0.013732156888628324
672,0.013141087029405276
673,0.006414657632509784
674,0.0063302828627582524
675,0.0061520190753042645
676,0.005977403937139556
677,0.005887282280947984
678,0.005786055261457652
679,0.005865083616120946
680,0.011852295066385321
681,0.012173528301654161
682,0.01250867115663014
683,0.012575338668989312
684,0.012759331966904982
685,0.012517905228400104
686,0.012221942772875008
687,0.005958969688960429
688,0.005756836937364502
689,0.005568010739660023
690,0.005361969023505814
691,0.005210941275621988
692,0.005189535223957227
693,0.009914211856326809
694,0.009431768229196948
695,0.009183682250416807
696,0.1446237068829871
697,0.14951499967375348
698,0.15613871394738746
699,0.15971816693965984
700,0.16983549993868258
701,0.17352184577580065
702,0.17675898460998235
703,0.1827605361890608
704,0.18914226725641073
705,0.2010494548825604
706,0.21489089685624962
707,0.2355104950338937
708,0.012762927157653614
709,0.011732613096928133
710,0.010574037614175294
711,0.009719462921870642
712,0.004602249164419481
713,0.004457278127810284
714,0.004379885956426061
715,0.004240529870773579
716,0.004211411259425288
717,0.004230772458107786
718,0.004249847702080073
719,0.004272229328738466
720,0.004300010539573586
721,0.008669629329053975
722,0.008734514687392446
723,0.008972477202376726
724,0.009241264524146472
725,0.009792141902668703
726,0.010121712739635927
727,0.010585373306060809
728,0.00559444911058685
729,0.005786769319421425
730,0.006194847397402552
731,0.006472330423497376
732,0.0067279481204157564
733,0.006863870140672558
734,0.013604097267168658
735,0.013115556014224329
736,0.012140780691314527
737,0.011418785315851762
738,0.010702311528057007
739,0.009797646038998607
740,0.009290602857400434
741,0.004413916240961991
742,0.0042973629765440625
743,0.004175731614431744
744,0.004086231723948144
745,0.0039853263239691865
746,0.003936808097590049
747,0.007798091234908913
748,0.0076561948331279935
749,0.007486886353164595
750,0.007428351550567666
751,0.007410749768699169
752,0.007390411091880283
753,0.007461810868672367
754,0.0037897574981327776
755,0.003941792435449168
